Local Interface    Parent Interface    Chassis Id          Port info          System Name
et-0/0/3           ae2                 44:ec:ce:c8:1b:60   et-0/0/49          dvtcdodcl01_10136.cox.net
et-0/0/8           -                   44:ec:ce:c8:e8:60   et-0/0/49          dvtcdodcl05_11042.cox.net
em0                -                   6c:62:fe:b9:be:79   542                QNC-JTAC-LSW-M06-52 
et-0/0/9           -                   b0:33:a6:13:01:00   et-0/0/48          dvtcdodcl04_10214.ultralab.juniper.net
et-0/0/2           ae3                 b0:33:a6:13:06:00   et-0/0/49          dvtcdodcl02_10135.cox.net
et-0/0/14          -                   d4:04:ff:08:cc:90   et-1/0/12          dvtcdospn02_11216.cox.net
et-0/0/18          -                   d4:04:ff:08:cc:90   et-2/0/0           dvtcdospn02_11216.cox.net
et-0/0/20          -                   d4:04:ff:08:cc:90   et-2/0/2           dvtcdospn02_11216.cox.net
et-0/0/22          -                   d4:04:ff:08:cc:90   et-2/0/4           dvtcdospn02_11216.cox.net
